start;end;downloads;package
2014-01-01;2014-01-31;33457;ggplot2
2014-02-01;2014-02-28;36817;ggplot2
2014-03-01;2014-03-31;47652;ggplot2
2014-04-01;2014-04-30;55404;ggplot2
2014-05-01;2014-05-31;54371;ggplot2
2014-06-01;2014-06-30;201761;ggplot2
2014-07-01;2014-07-31;92133;ggplot2
2014-08-01;2014-08-31;56890;ggplot2
2014-09-01;2014-09-30;70136;ggplot2
2014-10-01;2014-10-31;82817;ggplot2
2014-11-01;2014-11-30;79063;ggplot2
2014-12-01;2014-12-31;65079;ggplot2
2015-01-01;2015-01-31;85349;ggplot2
2015-02-01;2015-02-28;95591;ggplot2
2015-03-01;2015-03-31;140066;ggplot2
2015-04-01;2015-04-30;146008;ggplot2
2015-05-01;2015-05-31;142558;ggplot2
2015-06-01;2015-06-30;134730;ggplot2
2015-07-01;2015-07-31;126061;ggplot2
2015-08-01;2015-08-31;136617;ggplot2
2015-09-01;2015-09-30;176111;ggplot2
2015-10-01;2015-10-31;195243;ggplot2
2015-11-01;2015-11-30;198381;ggplot2
2015-12-01;2015-12-31;181234;ggplot2
2016-01-01;2016-01-31;228779;ggplot2
2016-02-01;2016-02-29;247028;ggplot2
2016-03-01;2016-03-31;262481;ggplot2
2016-04-01;2016-04-30;219765;ggplot2
2016-05-01;2016-05-31;249214;ggplot2
2016-06-01;2016-06-30;236981;ggplot2
2016-07-01;2016-07-31;210707;ggplot2
2016-08-01;2016-08-31;226941;ggplot2
2016-09-01;2016-09-30;294401;ggplot2
2016-10-01;2016-10-31;326941;ggplot2
2016-11-01;2016-11-30;435630;ggplot2
2016-12-01;2016-12-31;335209;ggplot2
2017-01-01;2017-01-31;411301;ggplot2
2017-02-01;2017-02-28;407285;ggplot2
2017-03-01;2017-03-31;464633;ggplot2
2017-04-01;2017-04-30;433774;ggplot2
2017-05-01;2017-05-31;420708;ggplot2
2017-06-01;2017-06-30;359623;ggplot2
2017-07-01;2017-07-31;318111;ggplot2
2017-08-01;2017-08-31;311367;ggplot2
2017-09-01;2017-09-30;389654;ggplot2
2017-10-01;2017-10-31;450465;ggplot2
2017-11-01;2017-11-30;454752;ggplot2
2017-12-01;2017-12-31;351634;ggplot2
2018-01-01;2018-01-31;419372;ggplot2
2018-02-01;2018-02-28;415838;ggplot2
2018-03-01;2018-03-31;495357;ggplot2
2018-04-01;2018-04-30;511879;ggplot2
2018-05-01;2018-05-31;507604;ggplot2
2018-06-01;2018-06-30;439156;ggplot2
2018-07-01;2018-07-31;552553;ggplot2
2018-08-01;2018-08-31;497218;ggplot2
2018-09-01;2018-09-30;647281;ggplot2
2018-10-01;2018-10-31;822873;ggplot2
2018-11-01;2018-11-30;809889;ggplot2
2018-12-01;2018-12-31;585313;ggplot2
2019-01-01;2019-01-31;726400;ggplot2
2019-02-01;2019-02-28;720326;ggplot2
2019-03-01;2019-03-31;771832;ggplot2
2019-04-01;2019-04-30;830500;ggplot2
2019-05-01;2019-05-31;830059;ggplot2
2019-06-01;2019-06-30;702976;ggplot2
2019-07-01;2019-07-31;712857;ggplot2
2019-08-01;2019-08-31;719862;ggplot2
2019-09-01;2019-09-30;988740;ggplot2
2019-10-01;2019-10-31;1058606;ggplot2
2019-11-01;2019-11-30;958562;ggplot2
2019-12-01;2019-12-31;869022;ggplot2
2020-01-01;2020-01-31;990079;ggplot2
2020-02-01;2020-02-29;1021046;ggplot2
2020-03-01;2020-03-31;1743064;ggplot2
2020-04-01;2020-04-30;1788712;ggplot2
2020-05-01;2020-05-31;1688318;ggplot2
2020-06-01;2020-06-30;1653368;ggplot2
2020-07-01;2020-07-31;1455078;ggplot2
2020-08-01;2020-08-31;1400458;ggplot2
2020-09-01;2020-09-30;1585801;ggplot2
2020-10-01;2020-10-31;1696668;ggplot2
2020-11-01;2020-11-30;1801691;ggplot2
2020-12-01;2020-12-31;905064;ggplot2
2021-01-01;2021-01-31;1128155;ggplot2
2021-02-01;2021-02-28;946051;ggplot2
2021-03-01;2021-03-31;1851241;ggplot2
2021-04-01;2021-04-30;1900989;ggplot2
2021-05-01;2021-05-31;1983929;ggplot2
2021-06-01;2021-06-30;1957952;ggplot2
2021-07-01;2021-07-31;1948565;ggplot2
2021-08-01;2021-08-31;2072506;ggplot2
2021-09-01;2021-09-30;2971064;ggplot2
2021-10-01;2021-10-31;3298060;ggplot2
2021-11-01;2021-11-30;3162372;ggplot2
2021-12-01;2021-12-31;2376174;ggplot2
2022-01-01;2022-01-31;2091880;ggplot2
2022-02-01;2022-02-28;2077216;ggplot2
2022-03-01;2022-03-31;2422703;ggplot2
2022-04-01;2022-04-30;2689183;ggplot2
2022-05-01;2022-05-31;3113536;ggplot2
2022-06-01;2022-06-30;2849346;ggplot2
2022-07-01;2022-07-31;2676911;ggplot2
2022-08-01;2022-08-31;2594350;ggplot2
2022-09-01;2022-09-30;2754884;ggplot2
2022-10-01;2022-10-31;2905716;ggplot2
2022-11-01;2022-11-30;2930801;ggplot2
2022-12-01;2022-12-31;2351346;ggplot2
2023-01-01;2023-01-31;2356847;ggplot2
2023-02-01;2023-02-28;2307038;ggplot2
2023-03-01;2023-03-31;2484066;ggplot2
2023-04-01;2023-04-30;1966351;ggplot2
2023-05-01;2023-05-31;2502717;ggplot2
2023-06-01;2023-06-30;2507430;ggplot2
2023-07-01;2023-07-31;2430173;ggplot2
2023-08-01;2023-08-31;2534005;ggplot2
2023-09-01;2023-09-30;2655965;ggplot2
2023-10-01;2023-10-31;2917801;ggplot2
2023-11-01;2023-11-30;3000819;ggplot2
2023-12-01;2023-12-31;2225776;ggplot2
2024-01-01;2024-01-31;2248917;ggplot2
2024-02-01;2024-02-29;2289545;ggplot2
2024-03-01;2024-03-31;2469492;ggplot2
2024-04-01;2024-04-30;1932736;ggplot2
2024-05-01;2024-05-31;1891742;ggplot2
2024-06-01;2024-06-26;1302455;ggplot2
